timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-11-03 10:54:00;A01-Vivo Los Trapenses-Paz;9430;BI6521BD;Pantalon 100% Lino Made In Italy;42000
2025-11-03 10:56:51;A01-Vivo Los Trapenses-Paz;12330;BI6540ZM;Falda Ancha Pretina Bolsillos Laterales100% Lino Made In Italy;36000
2025-11-03 10:57:22;A01-Vivo Los Trapenses-Paz;7801;BI6570TJ;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-11-03 10:57:47;A01-Vivo Los Trapenses-Paz;2648;BI6574TJ;Vestido Camisero Largo 100% Lino Made In Italy;53000
2025-11-03 10:58:45;A01-Vivo Los Trapenses-Paz;7801;BI6570BD;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-11-03 10:59:04;A01-Vivo Los Trapenses-Paz;7801;BI6570CL;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-11-03 10:59:22;A01-Vivo Los Trapenses-Paz;7801;BI6570MG;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-11-03 10:59:42;A01-Vivo Los Trapenses-Paz;7801;BI6570RS;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
