timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-11-06 11:52:20;A03-Patio Santa Teresa-MaríaJ;10749;BI6569CL;Blusa Camisera Bolsillo Parche 100%Lino Made In Italy;42000
2025-11-06 16:05:47;A03-Patio Santa Teresa-MaríaJ;82161;BI6511CL;Enterito 100% Lino Made In Italy;52000
